time,temperature_position_0.00_calibrated,temperature_position_0.10_calibrated,temperature_position_0.20_calibrated,temperature_position_0.30_calibrated,temperature_position_0.40_calibrated,temperature_position_0.60_calibrated,temperature_position_0.90_calibrated,temperature_position_1.40_calibrated,temperature_position_1.90_calibrated,temperature_position_2.40_calibrated,temperature_position_2.90_calibrated,temperature_position_3.90_calibrated,temperature_position_4.90_calibrated,temperature_position_5.90_calibrated,temperature_position_7.90_calibrated,temperature_position_9.90_calibrated
2025-06-19 00:01:35,5.893229166666666,4.409895833333334,4.393229166666666,4.368229166666667,4.393229166666666,4.359895833333333,4.368229166666667,4.1515625,3.855729166666667,3.7807291666666667,3.7723958333333334,3.697395833333333,3.668229166666667,3.6890625,3.6598958333333336,3.6015625
2025-06-19 01:01:06,5.643229166666666,4.159895833333334,4.143229166666666,4.180729166666667,4.205729166666666,4.172395833333333,4.118229166666667,3.9640625,3.855729166666667,3.8432291666666667,3.7723958333333334,3.697395833333333,3.668229166666667,3.6265625,3.5973958333333336,3.5390625
2025-06-19 02:01:19,5.768229166666666,4.222395833333334,4.268229166666666,4.243229166666667,4.268229166666666,4.297395833333333,4.305729166666667,4.0890625,3.855729166666667,3.8432291666666667,3.7723958333333334,3.697395833333333,3.605729166666667,3.5640625,3.4723958333333336,3.3515625
2025-06-19 03:04:26,5.080729166666666,4.159895833333334,4.143229166666666,4.180729166666667,4.205729166666666,4.234895833333333,4.243229166666667,4.0265625,3.980729166666667,3.9682291666666667,3.8348958333333334,3.759895833333333,3.730729166666667,3.6265625,3.5348958333333336,3.5390625
2025-06-19 04:01:13,5.768229166666666,4.284895833333334,4.330729166666666,4.305729166666667,4.330729166666666,4.297395833333333,4.055729166666667,3.8390625,3.793229166666667,3.7807291666666667,3.7723958333333334,3.697395833333333,3.668229166666667,3.6265625,3.5973958333333336,3.6015625
2025-06-19 05:01:00,5.955729166666666,4.347395833333334,4.393229166666666,4.368229166666667,4.393229166666666,4.297395833333333,4.243229166666667,3.9015625,3.730729166666667,3.7807291666666667,3.7723958333333334,3.697395833333333,3.730729166666667,3.6890625,3.6598958333333336,3.6640625
2025-06-19 06:01:17,4.830729166666666,4.597395833333334,4.580729166666666,4.618229166666667,4.643229166666666,4.484895833333333,4.180729166666667,3.7765625,3.730729166666667,3.5932291666666667,3.5848958333333334,3.572395833333333,3.605729166666667,3.5640625,3.5973958333333336,3.6015625
2025-06-19 07:01:01,4.143229166666666,4.347395833333334,4.393229166666666,4.368229166666667,4.393229166666666,4.359895833333333,4.368229166666667,4.1515625,3.918229166666667,3.7807291666666667,3.7723958333333334,3.759895833333333,3.730729166666667,3.6890625,3.6598958333333336,3.6640625
2025-06-19 08:01:44,4.455729166666666,4.597395833333334,4.580729166666666,4.618229166666667,4.580729166666666,4.547395833333333,4.555729166666667,4.4015625,3.980729166666667,3.8432291666666667,3.7723958333333334,3.697395833333333,3.730729166666667,3.6890625,3.6598958333333336,3.6640625
2025-06-19 09:03:37,5.018229166666666,4.847395833333334,4.830729166666666,4.868229166666667,4.830729166666666,4.797395833333333,4.743229166666667,4.3390625,3.855729166666667,3.7807291666666667,3.7098958333333334,3.634895833333333,3.605729166666667,3.6265625,3.5973958333333336,3.6015625
2025-06-19 10:01:22,5.268229166666666,4.847395833333334,4.830729166666666,4.805729166666667,4.830729166666666,4.797395833333333,4.805729166666667,4.3390625,3.793229166666667,3.7807291666666667,3.7098958333333334,3.634895833333333,3.605729166666667,3.5640625,3.5973958333333336,3.5390625
2025-06-19 11:01:01,5.080729166666666,4.597395833333334,4.580729166666666,4.618229166666667,4.580729166666666,4.547395833333333,4.493229166666667,3.9015625,3.793229166666667,3.7807291666666667,3.7723958333333334,3.759895833333333,3.730729166666667,3.6890625,3.5973958333333336,3.6015625
2025-06-19 12:01:42,2.2682291666666665,2.8473958333333336,3.2057291666666665,3.4932291666666666,3.6432291666666665,3.7348958333333333,4.118229166666667,4.4640625,4.355729166666666,4.280729166666667,4.084895833333333,3.822395833333333,3.793229166666667,3.8140625,3.7848958333333336,3.6640625
2025-06-19 13:01:05,0.8932291666666665,2.3473958333333336,2.8932291666666665,3.0557291666666666,3.1432291666666665,3.9848958333333333,4.430729166666667,4.6515625,4.605729166666666,4.593229166666667,4.584895833333333,4.322395833333333,4.043229166666666,3.8140625,3.4723958333333336,3.3515625
2025-06-19 14:01:12,0.8307291666666665,2.7223958333333336,3.4557291666666665,4.055729166666667,4.268229166666666,4.609895833333333,4.868229166666667,4.9015625,4.855729166666666,4.843229166666667,4.834895833333333,4.322395833333333,3.918229166666667,3.8140625,3.7848958333333336,3.4765625
2025-06-19 15:01:34,1.8932291666666665,1.5973958333333336,1.8932291666666665,1.9932291666666666,2.0182291666666665,3.6723958333333333,4.055729166666667,4.7765625,5.168229166666666,5.280729166666667,5.272395833333333,5.072395833333333,4.980729166666666,4.9390625,4.847395833333334,4.7890625
2025-06-19 16:01:17,0.7057291666666665,1.2848958333333336,1.7057291666666665,1.6182291666666666,1.4557291666666665,1.9223958333333333,2.9307291666666666,4.0890625,4.980729166666666,5.218229166666667,5.334895833333333,5.322395833333333,5.293229166666666,5.1890625,5.097395833333334,5.0390625
2025-06-19 17:01:02,1.5182291666666665,1.7848958333333336,1.7682291666666665,1.8057291666666666,1.5807291666666665,1.7973958333333333,1.9932291666666666,3.3390625,3.793229166666667,4.030729166666667,4.272395833333333,4.634895833333333,4.730729166666666,4.7515625,4.909895833333334,4.8515625
